1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,4,2,2,6,1,2,1,5,5,0,4,1,1,4,0,1,2,0,1,3,1,2,0,0,0,0,0,0,1,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,4,1,5,0,0,1,1,0,3,3,2,2,1,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,1,1,0,0,0,2,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
3,0,1,3,5,7,12,9,3,1,0,4,10,0,3,4,0,0,1,2,0,2,0,1,2,0,0,0,1,2,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,1,2,1,9,2,11,0,7,1,3,6,0,5,2,3,1,0,0,0,0,0,1,0,0,0,2,0,1,2,
1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,3,2,3,1,0,1,1,0,4,3,0,0,0,0,6,6,0,1,0,0,0,1,0,1,1,1,0,0,1,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,0,1,1,1,1,2,1,2,1,1,0,0,0,1,3,0,3,2,1,6,3,1,6,0,3,6,1,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,5,3,4,1,0,1,1,1,7,4,5,5,4,4,5,5,1,3,2,2,0,0,0,0,0,0,0,0,1,
